id,nameWithOwner,url,stargazerCount,createdAt,pushedAt,primaryLanguage
MDEwOlJlcG9zaXRvcnkxMzI3NTA3MjQ=,codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,472885,2018-05-09T12:03:18Z,2026-02-21T09:34:54Z,{'name': 'Markdown'}
MDEwOlJlcG9zaXRvcnkyMTczNzQ2NQ==,sindresorhus/awesome,https://github.com/sindresorhus/awesome,443098,2014-07-11T13:42:37Z,2026-03-04T16:56:28Z,
MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,437844,2014-12-24T17:49:19Z,2026-03-06T18:15:08Z,{'name': 'TypeScript'}
MDEwOlJlcG9zaXRvcnk1NDM0Njc5OQ==,public-apis/public-apis,https://github.com/public-apis/public-apis,404758,2016-03-20T23:49:42Z,2026-02-19T15:14:35Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnkxMzQ5MTg5NQ==,EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,383678,2013-10-11T06:50:37Z,2026-03-06T17:40:11Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnk4NTA3NzU1OA==,kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,350324,2017-03-15T13:45:52Z,2026-03-06T15:06:44Z,{'name': 'TypeScript'}
MDEwOlJlcG9zaXRvcnk2MDQ5MzEwMQ==,jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,337639,2016-06-06T02:34:12Z,2025-08-28T14:42:47Z,
MDEwOlJlcG9zaXRvcnk4MzIyMjQ0MQ==,donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,337612,2017-02-26T16:15:28Z,2025-11-03T12:06:22Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnkyMTI4OTExMA==,vinta/awesome-python,https://github.com/vinta/awesome-python,285896,2014-06-27T21:00:06Z,2026-03-04T17:17:10Z,{'name': 'Python'}
MDEwOlJlcG9zaXRvcnkzNjYzMzM3MA==,awesome-selfhosted/awesome-selfhosted,https://github.com/awesome-selfhosted/awesome-selfhosted,277962,2015-06-01T02:33:17Z,2026-02-27T19:02:23Z,
MDEwOlJlcG9zaXRvcnkxNzc3MzY1MzM=,996icu/996.ICU,https://github.com/996icu/996.ICU,275667,2019-03-26T07:31:14Z,2025-08-22T06:01:29Z,
