id,nameWithOwner,url,stargazerCount,createdAt,pushedAt,primaryLanguage,pullRequestsAccepted,releasesCount,issuesTotal,closedIssuesCount
MDEwOlJlcG9zaXRvcnkxMzI3NTA3MjQ=,codecrafters-io/build-your-own-x,https://github.com/codecrafters-io/build-your-own-x,474511,2018-05-09T12:03:18Z,2026-02-21T09:34:54Z,Markdown,155,0,889,653
MDEwOlJlcG9zaXRvcnkyMTczNzQ2NQ==,sindresorhus/awesome,https://github.com/sindresorhus/awesome,445048,2014-07-11T13:42:37Z,2026-03-09T07:59:57Z,,694,0,366,350
MDEwOlJlcG9zaXRvcnkyODQ1NzgyMw==,freeCodeCamp/freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,438101,2014-12-24T17:49:19Z,2026-03-12T21:53:58Z,TypeScript,27848,0,21173,21018
MDEwOlJlcG9zaXRvcnk1NDM0Njc5OQ==,public-apis/public-apis,https://github.com/public-apis/public-apis,408486,2016-03-20T23:49:42Z,2026-02-19T15:14:35Z,Python,1872,0,840,832
MDEwOlJlcG9zaXRvcnkxMzQ5MTg5NQ==,EbookFoundation/free-programming-books,https://github.com/EbookFoundation/free-programming-books,383989,2013-10-11T06:50:37Z,2026-03-12T00:48:42Z,Python,7337,0,1264,1228
MDEwOlJlcG9zaXRvcnk4NTA3NzU1OA==,kamranahmedse/developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,350836,2017-03-15T13:45:52Z,2026-03-11T13:06:09Z,TypeScript,4091,1,3090,3083
MDEwOlJlcG9zaXRvcnk4MzIyMjQ0MQ==,donnemartin/system-design-primer,https://github.com/donnemartin/system-design-primer,338667,2017-02-26T16:15:28Z,2026-03-12T01:13:46Z,Python,208,0,360,116
MDEwOlJlcG9zaXRvcnk2MDQ5MzEwMQ==,jwasham/coding-interview-university,https://github.com/jwasham/coding-interview-university,337813,2016-06-06T02:34:12Z,2025-08-28T14:42:47Z,,415,0,526,454
R_kgDOQb6kRw,openclaw/openclaw,https://github.com/openclaw/openclaw,307586,2025-11-24T10:16:47Z,2026-03-12T23:42:21Z,TypeScript,3150,65,18117,11017
MDEwOlJlcG9zaXRvcnkyMTI4OTExMA==,vinta/awesome-python,https://github.com/vinta/awesome-python,286884,2014-06-27T21:00:06Z,2026-03-11T06:55:02Z,Python,642,0,0,0
