repo,stage,error
EbookFoundation/free-programming-books,collect_repo_prs,Resource limits for this query exceeded.
openclaw/openclaw,collect_repo_prs_rest,Falha após retries: HTTP 403
freeCodeCamp/freeCodeCamp,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/freeCodeCamp/freeCodeCamp/pulls/41432/reviews?per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
facebook/react,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/facebook/react/pulls/14415/reviews?per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
ohmyzsh/ohmyzsh,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/ohmyzsh/ohmyzsh/pulls/9089/reviews?per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
tensorflow/tensorflow,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/tensorflow/tensorflow/pulls/106329/reviews?per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
n8n-io/n8n,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/n8n-io/n8n/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
microsoft/vscode,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/microsoft/vscode/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
getify/You-Dont-Know-JS,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/getify/You-Dont-Know-JS/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
CyC2018/CS-Notes,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/CyC2018/CS-Notes/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
Significant-Gravitas/AutoGPT,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/Significant-Gravitas/AutoGPT/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
jackfrued/Python-100-Days,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/jackfrued/Python-100-Days/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
obra/superpowers,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/obra/superpowers/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
flutter/flutter,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/flutter/flutter/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
twbs/bootstrap,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/twbs/bootstrap/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
github/gitignore,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/github/gitignore/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
affaan-m/everything-claude-code,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/affaan-m/everything-claude-code/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
avelino/awesome-go,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/avelino/awesome-go/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
ollama/ollama,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/ollama/ollama/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
AUTOMATIC1111/stable-diffusion-webui,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/AUTOMATIC1111/stable-diffusion-webui/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
f/prompts.chat,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/f/prompts.chat/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
jlevy/the-art-of-command-line,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/jlevy/the-art-of-command-line/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
yt-dlp/yt-dlp,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/yt-dlp/yt-dlp/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
huggingface/transformers,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/huggingface/transformers/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
Snailclimb/JavaGuide,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/Snailclimb/JavaGuide/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
anomalyco/opencode,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/anomalyco/opencode/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
airbnb/javascript,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/airbnb/javascript/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
langflow-ai/langflow,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/langflow-ai/langflow/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
ytdl-org/youtube-dl,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/ytdl-org/youtube-dl/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
langgenius/dify,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/langgenius/dify/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
Genymobile/scrcpy,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/Genymobile/scrcpy/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
yangshun/tech-interview-handbook,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/yangshun/tech-interview-handbook/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
vercel/next.js,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/vercel/next.js/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
x1xhlol/system-prompts-and-models-of-ai-tools,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/x1xhlol/system-prompts-and-models-of-ai-tools/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
langchain-ai/langchain,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/langchain-ai/langchain/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
open-webui/open-webui,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/open-webui/open-webui/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
golang/go,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/golang/go/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
labuladong/fucking-algorithm,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/labuladong/fucking-algorithm/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
NousResearch/hermes-agent,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/NousResearch/hermes-agent/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
microsoft/PowerToys,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/microsoft/PowerToys/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
anthropics/skills,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/anthropics/skills/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
Chalarangelo/30-seconds-of-code,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/Chalarangelo/30-seconds-of-code/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
krahets/hello-algo,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/krahets/hello-algo/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
kubernetes/kubernetes,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/kubernetes/kubernetes/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
facebook/react-native,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/facebook/react-native/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
excalidraw/excalidraw,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/excalidraw/excalidraw/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
microsoft/markitdown,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/microsoft/markitdown/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
electron/electron,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/electron/electron/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
ripienaar/free-for-dev,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/ripienaar/free-for-dev/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
anthropics/claude-code,collect_repo_prs_rest,"Falha após retries: HTTPSConnectionPool(host='api.github.com', port=443): Max retries exceeded with url: /repos/anthropics/claude-code/pulls?state=closed&sort=created&direction=desc&per_page=100&page=1 (Caused by NameResolutionError(""HTTPSConnection(host='api.github.com', port=443): Failed to resolve 'api.github.com' ([Errno 11001] getaddrinfo failed)""))"
