repo,total,abandoned,abandonment_rate
DefinitelyTyped/DefinitelyTyped,60323,129,0.21
grafana/grafana,55830,508,0.91
microsoft/vscode,51501,1529,2.97
openclaw/openclaw,40010,3291,8.23
freeCodeCamp/freeCodeCamp,36034,68,0.19
expo/expo,20322,536,2.64
microsoft/fluentui,19103,254,1.33
apache/superset,18588,554,2.98
mattermost/mattermost,18355,288,1.57
nrwl/nx,18179,132,0.73
microsoft/playwright,18088,19,0.11
n8n-io/n8n,17626,1116,6.33
backstage/backstage,17534,186,1.06
calcom/cal.diy,17495,276,1.58
open-metadata/OpenMetadata,17378,198,1.14
elastic/kibana,16978,1279,7.53
aws/aws-cdk,16840,332,1.97
angular/components,15242,154,1.01
renovatebot/renovate,12933,202,1.56
angular/angular-cli,12388,29,0.23
langgenius/dify,12367,492,3.98
twentyhq/twenty,11471,46,0.4
jhipster/generator-jhipster,10879,64,0.59
google-gemini/gemini-cli,10467,423,4.04
DIYgod/RSSHub,10133,31,0.31
jitsi/jitsi-meet,9981,107,1.07
MetaMask/metamask-extension,9648,356,3.69
mastra-ai/mastra,9203,147,1.6
emberjs/ember.js,9188,82,0.89
darkreader/darkreader,8535,40,0.47
withastro/astro,8470,86,1.02
activepieces/activepieces,8300,167,2.01
Unleash/unleash,8248,16,0.19
directus/directus,7870,41,0.52
teambit/bit,7856,58,0.74
vitejs/vite,7542,213,2.82
highcharts/highcharts,7540,77,1.02
jupyterlab/jupyterlab,7528,152,2.02
eclipse-theia/theia,7355,41,0.56
prisma/prisma,7314,143,1.96
babel/babel,7192,160,2.22
vercel/vercel,7144,325,4.55
logto-io/logto,7060,4,0.06
langchain-ai/langchainjs,6471,160,2.47
facebook/docusaurus,6430,85,1.32
openobserve/openobserve,6417,21,0.33
langfuse/langfuse,6391,276,4.32
bluesky-social/social-app,6378,438,6.87
scalar/scalar,6347,16,0.25
payloadcms/payload,6285,336,5.35
vercel/ai,6109,603,9.87
promptfoo/promptfoo,6036,181,3.0
iptv-org/iptv,5935,2,0.03
baidu/amis,5886,31,0.53
puppeteer/puppeteer,5833,41,0.7
ionic-team/ionic-framework,5811,20,0.34
BabylonJS/Babylon.js,5806,11,0.19
OI-wiki/OI-wiki,5472,12,0.22
nilbuild/developer-roadmap,5440,12,0.22
discordjs/discord.js,5305,62,1.17
tldraw/tldraw,5190,41,0.79
redwoodjs/graphql,5038,0,0.0
facebook/lexical,5010,30,0.6
RooCodeInc/Roo-Code,4998,126,2.52
nocobase/nocobase,4903,117,2.39
QwikDev/qwik,4892,18,0.37
Budibase/budibase,4835,20,0.41
visgl/deck.gl,4802,55,1.15
