complexidade,metrica,api,shapiro_stat,p_valor,normal
simples,tempo,REST,0.9546,0.001695,Nao
simples,tempo,GraphQL,0.9339,0.000083,Nao
simples,tamanho,REST,1.0,1.000000,Sim
simples,tamanho,GraphQL,1.0,1.000000,Sim
media,tempo,REST,0.9432,0.000306,Nao
media,tempo,GraphQL,0.1701,0.000000,Nao
media,tamanho,REST,1.0,1.000000,Sim
media,tamanho,GraphQL,1.0,1.000000,Sim
complexa,tempo,REST,0.9866,0.412929,Sim
complexa,tempo,GraphQL,0.3662,0.000000,Nao
complexa,tamanho,REST,1.0,1.000000,Sim
complexa,tamanho,GraphQL,1.0,1.000000,Sim
