repo,stars,total_prs_merged_closed
codecrafters-io/build-your-own-x,499069,343
sindresorhus/awesome,462500,2367
freeCodeCamp/freeCodeCamp,444146,44885
public-apis/public-apis,431290,3260
EbookFoundation/free-programming-books,387675,11622
openclaw/openclaw,368258,38164
nilbuild/developer-roadmap,354158,5981
donnemartin/system-design-primer,346991,372
jwasham/coding-interview-university,345311,1012
vinta/awesome-python,295968,2394
awesome-selfhosted/awesome-selfhosted,290184,3043
996icu/996.ICU,276133,1991
practical-tutorials/project-based-learning,264848,383
facebook/react,244839,19007
TheAlgorithms/Python,220732,11386
trimstray/the-book-of-secret-knowledge,218692,242
vuejs/vue,209794,2369
ossu/computer-science,203586,513
trekhleb/javascript-algorithms,195924,574
tensorflow/tensorflow,194984,68841
ohmyzsh/ohmyzsh,186711,7652
n8n-io/n8n,186686,19546
microsoft/vscode,184556,54515
getify/You-Dont-Know-JS,184443,897
CyC2018/CS-Notes,184311,562
Significant-Gravitas/AutoGPT,183986,7764
jackfrued/Python-100-Days,182130,216
obra/superpowers,178229,541
flutter/flutter,176173,70830
twbs/bootstrap,174216,16031
github/gitignore,173711,4673
affaan-m/everything-claude-code,173235,999
avelino/awesome-go,171802,5129
ollama/ollama,170683,4607
AUTOMATIC1111/stable-diffusion-webui,162722,3268
f/prompts.chat,161538,851
jlevy/the-art-of-command-line,160849,475
yt-dlp/yt-dlp,160543,4177
huggingface/transformers,160240,24897
Snailclimb/JavaGuide,155396,1576
anomalyco/opencode,154604,8958
airbnb/javascript,148110,1637
langflow-ai/langflow,147682,8308
ytdl-org/youtube-dl,140192,4513
langgenius/dify,140068,13017
Genymobile/scrcpy,139410,582
yangshun/tech-interview-handbook,139320,587
vercel/next.js,139272,34908
x1xhlol/system-prompts-and-models-of-ai-tools,136677,137
langchain-ai/langchain,135758,22005
open-webui/open-webui,135493,7361
golang/go,133732,4640
labuladong/fucking-algorithm,133384,509
microsoft/PowerToys,132826,7600
NousResearch/hermes-agent,132554,9948
anthropics/skills,128043,200
Chalarangelo/30-seconds-of-code,127689,1661
krahets/hello-algo,125873,1237
facebook/react-native,125752,26443
excalidraw/excalidraw,122486,5096
kubernetes/kubernetes,122067,88274
ripienaar/free-for-dev,121158,4144
electron/electron,121135,28799
anthropics/claude-code,120353,448
microsoft/markitdown,120319,318
nodejs/node,117031,39455
justjavac/free-programming-books-zh_CN,116819,440
iptv-org/iptv,115915,7835
clash-verge-rev/clash-verge-rev,115639,1078
firecrawl/firecrawl,115064,2286
shadcn-ui/ui,113532,3069
rustdesk/rustdesk,113494,5047
d3/d3,112839,1201
rust-lang/rust,112527,92214
mrdoob/three.js,112302,19532
Hack-with-Github/Awesome-Hacking,111592,140
Comfy-Org/ComfyUI,111327,3473
godotengine/godot,110279,50941
microsoft/generative-ai-for-beginners,110205,794
axios/axios,109044,2461
microsoft/TypeScript,108735,19120
Shubhamsaboo/awesome-llm-apps,108704,521
ggml-org/llama.cpp,108253,10406
denoland/deno,106614,17929
fatedier/frp,106284,1143
tauri-apps/tauri,106193,6365
papers-we-love/papers-we-love,105864,531
